,artistName,artistId,songName,songId,availableMarket,songPopularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,aritstPopularity,artistGenre
21,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Creep,6b2oQwSGFkzsMtQruIWm2p,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",83.0,0.799,0.586,11.0,-6.735,1.0,0.0377,0.162,2.03e-06,0.193,0.5489999999999999,120.97,80.0,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
22,Radiohead Tribute Band,0ADkBHZhR2cVfANgK5gHQO,Creep,5FahOwrrzUZEoMp3qkH584,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",15.0,0.664,0.705,1.0,-4.9719999999999995,0.0,0.0382,0.0654,0.0,0.115,0.47700000000000004,122.01700000000001,84.0,"dance pop,neo mellow,piano rock,pop,pop rock"
23,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",74.0,0.44799999999999995,0.784,9.0,-3.6860000000000004,1.0,0.0627,0.106,0.00010800000000000001,0.6679999999999999,0.23600000000000002,136.245,89.0,"modern rock,rock"
24,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,I Will Wait,0hm8rgOY17z7kQJlqGKbu7,"CA,US",71.0,0.33,0.9359999999999999,1.0,-3.66,1.0,0.0917,0.00108,0.0,0.0926,0.23399999999999999,148.112,79.0,"indie rock,modern rock,permanent wave,rock"
25,Blur,7MhMgCo0Bl0Kukl93PZbYS,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.149999999999999e-05,0.0344,0.9279999999999999,114.988,80.0,"dance pop,pop"
26,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IT,JO,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",76.0,0.7340000000000001,0.7659999999999999,1.0,-4.485,1.0,0.0383,0.025,0.0013800000000000002,0.10800000000000001,0.6,127.986,89.0,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
27,The White Stripes,4F84IBURUo98rz4r61KF70,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,"CA,JP,MX,US",76.0,0.825,0.435,1.0,-9.582,1.0,0.0568,0.452,0.609,0.0953,0.243,119.038,66.0,"indie pop,la indie,modern alternative rock,modern rock,rock,stomp pop"
28,The Karaoke Machine,1SpCo1CAtNQODuohiHGICI,Seven Nation Army (White Stripes Karaoke Tribute),5J0nPPJd5Yz2X1fzqkKISD,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",0.0,0.726,0.698,5.0,-4.165,1.0,0.0431,0.049,0.0,0.309,0.867,143.994,88.0,"dance pop,pop,post-teen pop"
29,The Retro Spectres,4ZULQheLrsg2TXuMYSkTzp,Seven Nation Army (Originally Performed by White Stripes) [Instrumental],51fivJ5ukaHydr3nHfLfQh,"AD,AE,AR,AT,AU,BE,BG,BH,BO,BR,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HU,ID,IE,IL,IN,IS,IT,JO,JP,KW,LB,LI,LT,LU,LV,MA,MC,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,SA,SE,SG,SK,SV,TH,TN,TR,TW,US,UY,VN,ZA",1.0,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,76.0,"indie pop,modern rock,pop,rock"
30,The Rock Heroes,0wp7cYNFjMgSHBDdla5aC9,Seven Nation Army (as made famous by White Stripes),79TRsvz0DA25MmNOMDvu6X,US,0.0,0.7290000000000001,0.735,1.0,-5.455,1.0,0.0919,0.0178,0.000193,0.08900000000000001,0.544,121.986,79.0,"house,pop,uk dance"
